Date,Casual,Member,Total_rides,WMO code,temp(°C),atemp(°C),windspeed,season,Season,yr,mnth,holiday,weekday,workingday,Weekday,weathersit
2021-07-16,4723,5666,10389,1,28.7,32.6,10.3,3,Summer,2,7,False,4,True,Friday,1
2021-07-17,6108,5033,11141,63,28.2,33.0,13.4,3,Summer,2,7,False,5,False,Saturday,4
2021-07-18,6297,5117,11414,3,25.5,27.3,19.3,3,Summer,2,7,False,6,False,Sunday,1
2021-07-19,3804,5352,9156,2,25.9,27.9,10.5,3,Summer,2,7,False,0,True,Monday,1
2021-07-20,3663,5877,9540,1,26.9,30.0,9.0,3,Summer,2,7,False,1,True,Tuesday,1
2021-07-21,3826,5720,9546,53,27.1,29.2,13.6,3,Summer,2,7,False,2,True,Wednesday,4
2021-07-22,4060,5854,9914,1,24.3,24.8,11.9,3,Summer,2,7,False,3,True,Thursday,1
2021-07-23,4847,5772,10619,2,24.0,24.8,8.3,3,Summer,2,7,False,4,True,Friday,1
2021-07-24,6440,5177,11617,51,25.1,26.8,14.6,3,Summer,2,7,False,5,False,Saturday,4
2021-07-25,5212,4660,9872,51,28.0,30.4,15.6,3,Summer,2,7,False,6,False,Sunday,4
2021-07-26,2860,4771,7631,51,28.5,32.2,9.2,3,Summer,2,7,False,0,True,Monday,4
2021-07-27,3210,5443,8653,1,28.4,32.6,5.7,3,Summer,2,7,False,1,True,Tuesday,1
2021-07-28,3334,5645,8979,1,28.1,30.1,12.1,3,Summer,2,7,False,2,True,Wednesday,1
2021-07-29,3537,5409,8946,51,28.1,31.5,10.5,3,Summer,2,7,False,3,True,Thursday,4
2021-07-30,4393,5687,10080,51,27.9,29.2,15.0,3,Summer,2,7,False,4,True,Friday,4
2021-07-31,6902,5450,12352,3,24.5,25.0,12.1,3,Summer,2,7,False,5,False,Saturday,1
2021-08-01,3593,3584,7177,61,23.7,26.6,10.5,3,Summer,2,8,False,6,False,Sunday,4
2021-08-02,4055,5455,9510,2,22.8,23.6,13.4,3,Summer,2,8,False,0,True,Monday,1
2021-08-03,3985,5864,9849,2,23.1,24.4,10.0,3,Summer,2,8,False,1,True,Tuesday,1
2021-08-04,4183,5815,9998,3,22.5,23.6,15.0,3,Summer,2,8,False,2,True,Wednesday,1
2021-08-05,4294,5870,10164,2,24.3,26.1,7.0,3,Summer,2,8,False,3,True,Thursday,1
2021-08-06,4587,5461,10048,2,26.0,27.6,13.8,3,Summer,2,8,False,4,True,Friday,1
2021-08-07,4247,3885,8132,53,22.7,25.0,9.0,3,Summer,2,8,False,5,False,Saturday,4
2021-08-08,6262,4735,10997,1,24.8,27.4,11.4,3,Summer,2,8,False,6,False,Sunday,1
2021-08-09,3201,4619,7820,63,26.0,30.1,13.5,3,Summer,2,8,False,0,True,Monday,4
2021-08-10,2553,4393,6946,53,28.1,32.3,12.9,3,Summer,2,8,False,1,True,Tuesday,4
2021-08-11,2647,4687,7334,61,28.9,34.1,8.6,3,Summer,2,8,False,2,True,Wednesday,4
2021-08-12,3481,4959,8440,1,30.1,34.5,12.2,3,Summer,2,8,False,3,True,Thursday,1
2021-08-13,2963,4097,7060,63,29.6,34.7,10.7,3,Summer,2,8,False,4,True,Friday,4
2021-08-14,5319,4819,10138,63,27.2,32.2,10.2,3,Summer,2,8,False,5,False,Saturday,4
2021-08-15,5022,4487,9509,63,24.2,27.1,12.2,3,Summer,2,8,False,6,False,Sunday,4
2021-08-16,2006,3291,5297,61,24.1,28.2,8.5,3,Summer,2,8,False,0,True,Monday,4
2021-08-17,3080,4982,8062,53,25.7,30.4,10.5,3,Summer,2,8,False,1,True,Tuesday,4
2021-08-18,2995,5211,8206,61,26.2,30.7,17.8,3,Summer,2,8,False,2,True,Wednesday,4
2021-08-19,3423,5142,8565,51,27.3,31.2,11.9,3,Summer,2,8,False,3,True,Thursday,4
2021-08-20,3248,4114,7362,63,24.5,28.7,9.9,3,Summer,2,8,False,4,True,Friday,4
2021-08-21,5240,5102,10342,63,24.7,29.3,7.7,3,Summer,2,8,False,5,False,Saturday,4
2021-08-22,4921,4694,9615,51,24.5,28.8,9.4,3,Summer,2,8,False,6,False,Sunday,4
2021-08-23,3268,5258,8526,53,26.8,30.8,11.6,3,Summer,2,8,False,0,True,Monday,4
2021-08-24,3122,5834,8956,1,28.2,32.3,11.7,3,Summer,2,8,False,1,True,Tuesday,1
2021-08-25,2873,5712,8585,51,28.4,33.8,8.3,3,Summer,2,8,False,2,True,Wednesday,4
2021-08-26,2810,5205,8015,63,27.6,33.6,9.2,3,Summer,2,8,False,3,True,Thursday,4
